# R+R_tip fE fE_homo Volume Area mu_d mu_t mu_h
10.7143 -9815.12 -9852.03 9952.56 386.743 4.6333 -200 0
11.5238 -10710.3 -10747.7 10857.3 459.598 4.6333 -200 0
12.5238 -11605.7 -11643.3 11762.1 538.736 4.6333 -200 0
13.5238 -12501.1 -12538.9 12666.9 624.158 4.6333 -200 0
14.5238 -13396.5 -13434.6 13571.7 715.862 4.6333 -200 0
15.5238 -14291.9 -14330.2 14476.4 813.85 4.6333 -200 0
16.5238 -15187.4 -15225.9 15381.2 918.121 4.6333 -200 0
17.5238 -16082.8 -16121.5 16286 1028.67 4.6333 -200 0
18.5238 -16978.2 -17017.1 17190.8 1145.51 4.6333 -200 0
19.5238 -17873.7 -17912.8 18095.6 1268.63 4.6333 -200 0
20.5238 -18769.1 -18808.4 19000.3 1398.04 4.6333 -200 0
21.5238 -19664.6 -19704.1 19905.1 1533.72 4.6333 -200 0
22.5238 -20560 -20599.7 20809.9 1675.69 4.6333 -200 0
