#mu_d fE fE_homo Volume Area
5 -6665.35 -7077.38 7077.38 820.578
5.05 -6698.12 -7077.38 7077.38 820.578
5.1 -6730.47 -7077.38 7077.38 820.578
5.15 -6763.31 -7077.38 7077.38 820.578
5.2 -6795.96 -7077.38 7077.38 820.578
5.25 -6828.65 -7077.38 7077.38 820.578
5.3 -6861.38 -7077.38 7077.38 820.578
5.35 -6894.15 -7077.38 7077.38 820.578
5.4 -6926.97 -7077.38 7077.38 820.578
5.45 -6959.82 -7077.38 7077.38 820.578
5.5 -6992.7 -7077.38 7077.38 820.578
5.55 -7025.62 -7077.38 7077.38 820.578
5.6 -7058.58 -7077.38 7077.38 820.578
5.65 -7091.57 -7077.38 7077.38 820.578
5.7 -7124.59 -7077.38 7077.38 820.578
5.75 -7156.94 -7077.38 7077.38 820.578
5.8 -7189.98 -7077.38 7077.38 820.578
