# R R+Rpin delfE fE_homo Volume Area
2 9.61905 -13354.6 -0.989903 13430.3 933.53
4 11.619 -16167.8 -0.989903 16257.7 1162.72
6 13.619 -18980.3 -0.989903 19085.2 1417.04
8 15.619 -21792.6 -0.989903 21912.6 1696.49
10 17.619 -24604.8 -0.989903 24740 2001.07
12 19.619 -27416.8 -0.989903 27567.5 2330.79
14 21.619 -30228.8 -0.989903 30394.9 2685.64
16 23.619 -33040.8 -0.989903 33222.3 3065.62
18 25.619 -35852.8 -0.989903 36049.7 3470.74
20 27.619 -38664.8 -0.989903 38877.2 3900.99
22 29.619 -41476.8 -0.989903 41704.6 4356.37
24 31.619 -44288.8 -0.989903 44532 4836.88
26 33.619 -47100.8 -0.989903 47359.5 5342.53
28 35.619 -49912.7 -0.989903 50186.9 5873.31
30 37.619 -52724.7 -0.989903 53014.3 6429.22
32 39.619 -55536.7 -0.989903 55841.8 7010.26
34 41.619 -58348.7 -0.989903 58669.2 7616.44
36 43.619 -61160.7 -0.989903 61496.6 8247.75
38 45.619 -63972.7 -0.989903 64324.1 8904.19
40 47.619 -66784.7 -0.989903 67151.5 9585.77
42 49.619 -69596.6 -0.989903 69978.9 10292.5
44 51.619 -72408.6 -0.989903 72806.3 11024.3
46 53.619 -75220.6 -0.989903 75633.8 11781.3
48 55.619 -78032.6 -0.989903 78461.2 12563.4
50 57.619 -80844.6 -0.989903 81288.6 13370.6
52 59.619 -83656.6 -0.989903 84116.1 14203
54 61.619 -86468.6 -0.989903 86943.5 15060.5
56 63.619 -89280.5 -0.989903 89770.9 15943.1
58 65.619 -92092.5 -0.989903 92598.4 16850.9
60 67.619 -94904.5 -0.989903 95425.8 17783.8
62 69.619 -97716.5 -0.989903 98253.2 18741.9
64 71.619 -100528 -0.989903 101081 19725
66 73.619 -103340 -0.989903 103908 20733.3
68 75.619 -106152 -0.989903 106736 21766.8
70 77.619 -108964 -0.989903 109563 22825.3
72 79.619 -111776 -0.989903 112390 23909
74 81.619 -114588 -0.989903 115218 25017.9
76 83.619 -117400 -0.989903 118045 26151.8
78 85.619 -120212 -0.989903 120873 27310.9
80 87.619 -123024 -0.989903 123700 28495.1
82 89.619 -125836 -0.989903 126528 29704.5
84 91.619 -128648 -0.989903 129355 30939
86 93.619 -131460 -0.989903 132182 32198.6
88 95.619 -134272 -0.989903 135010 33483.4
90 97.619 -137084 -0.989903 137837 34793.3
92 99.619 -139896 -0.989903 140665 36128.3
94 101.619 -142708 -0.989903 143492 37488.5
96 103.619 -145520 -0.989903 146320 38873.8
98 105.619 -148332 -0.989903 149147 40284.2
100 107.619 -151144 -0.989903 151974 41719.7
102 109.619 -153956 -0.989903 154802 43180.4
104 111.619 -156768 -0.989903 157629 44666.3
106 113.619 -159580 -0.989903 160457 46177.2
108 115.619 -162392 -0.989903 163284 47713.3
110 117.619 -165204 -0.989903 166112 49274.5
112 119.619 -168016 -0.989903 168939 50860.9
114 121.619 -170828 -0.989903 171766 52472.4
116 123.619 -173640 -0.989903 174594 54109
118 125.619 -176452 -0.989903 177421 55770.7
120 127.619 -179264 -0.989903 180249 57457.6
122 129.619 -182076 -0.989903 183076 59169.6
124 131.619 -184888 -0.989903 185904 60906.8
126 133.619 -187700 -0.989903 188731 62669.1
128 135.619 -190512 -0.989903 191558 64456.5
130 137.619 -193324 -0.989903 194386 66269
132 139.619 -196136 -0.989903 197213 68106.7
134 141.619 -198948 -0.989903 200041 69969.5
136 143.619 -201760 -0.989903 202868 71857.5
138 145.619 -204572 -0.989903 205696 73770.5
140 147.619 -207384 -0.989903 208523 75708.8
142 149.619 -210196 -0.989903 211350 77672.1
144 151.619 -213008 -0.989903 214178 79660.6
146 153.619 -215820 -0.989903 217005 81674.2
148 155.619 -218632 -0.989903 219833 83712.9
150 157.619 -221444 -0.989903 222660 85776.8
152 159.619 -224256 -0.989903 225488 87865.8
154 161.619 -227068 -0.989903 228315 89980
156 163.619 -229880 -0.989903 231142 92119.2
158 165.619 -232692 -0.989903 233970 94283.6
160 167.619 -235504 -0.989903 236797 96473.2
162 169.619 -238316 -0.989903 239625 98687.8
164 171.619 -241128 -0.989903 242452 100928
166 173.619 -243940 -0.989903 245280 103193
168 175.619 -246752 -0.989903 248107 105483
170 177.619 -249564 -0.989903 250935 107798
172 179.619 -252376 -0.989903 253762 110138
174 181.619 -255188 -0.989903 256589 112504
176 183.619 -258000 -0.989903 259417 114894
178 185.619 -260812 -0.989903 262244 117310
180 187.619 -263624 -0.989903 265072 119751
182 189.619 -266436 -0.989903 267899 122217
184 191.619 -269248 -0.989903 270727 124708
186 193.619 -272060 -0.989903 273554 127224
188 195.619 -274872 -0.989903 276381 129766
190 197.619 -277684 -0.989903 279209 132332
192 199.619 -280496 -0.989903 282036 134924
