# R R+Rpin delfE fE_homo Volume Area
2 9.61905 -13245.7 -0.989903 13430.3 290.679
4 11.619 -16031.4 -0.989903 16257.7 424.122
6 13.619 -18817 -0.989903 19085.2 582.697
8 15.619 -21602.5 -0.989903 21912.6 766.405
10 17.619 -24387.9 -0.989903 24740 975.246
12 19.619 -27173.3 -0.989903 27567.5 1209.22
14 21.619 -29958.7 -0.989903 30394.9 1468.33
16 23.619 -32744 -0.989903 33222.3 1752.57
18 25.619 -35529.3 -0.989903 36049.7 2061.94
20 27.619 -38314.6 -0.989903 38877.2 2396.44
22 29.619 -41099.9 -0.989903 41704.6 2756.08
24 31.619 -43885.2 -0.989903 44532 3140.85
26 33.619 -46670.4 -0.989903 47359.5 3550.75
28 35.619 -49455.7 -0.989903 50186.9 3985.79
30 37.619 -52241 -0.989903 53014.3 4445.96
32 39.619 -55026.3 -0.989903 55841.8 4931.26
34 41.619 -57811.6 -0.989903 58669.2 5441.69
36 43.619 -60597 -0.989903 61496.6 5977.26
38 45.619 -63382.3 -0.989903 64324.1 6537.96
40 47.619 -66167.6 -0.989903 67151.5 7123.79
42 49.619 -68952.9 -0.989903 69978.9 7734.75
44 51.619 -71738.2 -0.989903 72806.3 8370.85
46 53.619 -74523.5 -0.989903 75633.8 9032.08
48 55.619 -77308.8 -0.989903 78461.2 9718.44
50 57.619 -80094.2 -0.989903 81288.6 10429.9
