# R+R_tip fE fE_homo Volume Area mu_d mu_t mu_h
7.62905 -10415.3 -10509.8 10617 182.848 4.55 -200 0
10.1052 -13187.7 -13308.6 13444.4 291.284 4.55 -200 0
11.8671 -15962.8 -16107.5 16271.9 424.852 4.55 -200 0
14.3433 -18735.4 -18906.4 19099.3 583.553 4.55 -200 0
16.1052 -21510.6 -21705.3 21926.7 767.387 4.55 -200 0
18.5814 -24283.4 -24504.1 24754.2 976.354 4.55 -200 0
20.3433 -27058.6 -27303 27581.6 1210.45 4.55 -200 0
22.8195 -29831.6 -30101.9 30409 1469.69 4.55 -200 0
24.5814 -32606.8 -32900.7 33236.5 1754.05 4.55 -200 0
27.0576 -35380 -35699.6 36063.9 2063.55 4.55 -200 0
28.8195 -38155.2 -38498.5 38891.3 2398.18 4.55 -200 0
