7 2006.01 2618.1 654.525 175.929
207 59837 78094.8 19523.7 5202.47
407 117668 153571 38392.9 10229
607 175499 229048 57262 15255.6
807 233330 304525 76131.2 20282.1
1007 291161 380002 95000.4 25308.6
1207 348992 455478 113870 30335.2
1407 406823 530955 132739 35361.7
1607 464654 606432 151608 40388.3
1807 522485 681908 170477 45414.8
2007 580316 757385 189346 50441.4
2207 638147 832862 208215 55467.9
2407 695978 908338 227085 60494.5
2607 753809 983815 245954 65521
2807 811640 1.05929e+06 264823 70547.5
3007 869471 1.13477e+06 283692 75574.1
3207 927302 1.21025e+06 302561 80600.6
3407 985133 1.28572e+06 321430 85627.2
3607 1.04296e+06 1.3612e+06 340300 90653.7
3807 1.10079e+06 1.43668e+06 359169 95680.3
4007 1.15863e+06 1.51215e+06 378038 100707
