# R R+Rpin delfE fE_homo Volume Area
0.5 8.11905 -10979.4 -0.989903 11309.7 0
1 8.61905 -11655.5 -0.989903 12016.6 0
1.5 9.11905 -12331.5 -0.989903 12723.4 0
2 9.61905 -13007.5 -0.989903 13430.3 0
2.5 10.119 -13683.6 -0.989903 14137.2 0
3 10.619 -14359.6 -0.989903 14844 0
3.5 11.119 -15035.6 -0.989903 15550.9 0
4 11.619 -15711.7 -0.989903 16257.7 0
4.5 12.119 -16387.7 -0.989903 16964.6 0
5 12.619 -17063.6 -0.989903 17671.4 0
5.5 13.119 -17739.6 -0.989903 18378.3 0
6 13.619 -18415.6 -0.989903 19085.2 0
6.5 14.119 -19091.5 -0.989903 19792 0
7 14.619 -19767.4 -0.989903 20498.9 0
7.5 15.119 -20443.3 -0.989903 21205.7 0
8 15.619 -21119.2 -0.989903 21912.6 0
8.5 16.119 -21795.1 -0.989903 22619.4 0
9 16.619 -22471 -0.989903 23326.3 0
9.5 17.119 -23146.8 -0.989903 24033.2 0
10 17.619 -23822.6 -0.989903 24740 0
10.5 18.119 -24498.4 -0.989903 25446.9 0
11 18.619 -25174.2 -0.989903 26153.7 0
11.5 19.119 -25850 -0.989903 26860.6 0
12 19.619 -26525.8 -0.989903 27567.5 0
12.5 20.119 -27201.5 -0.989903 28274.3 0
13 20.619 -27877.2 -0.989903 28981.2 0
13.5 21.119 -28553 -0.989903 29688 0
14 21.619 -29228.7 -0.989903 30394.9 0
14.5 22.119 -29904.3 -0.989903 31101.7 0
15 22.619 -30580 -0.989903 31808.6 0
15.5 23.119 -31255.7 -0.989903 32515.5 0
16 23.619 -31931.3 -0.989903 33222.3 0
16.5 24.119 -32607 -0.989903 33929.2 0
17 24.619 -33282.6 -0.989903 34636 0
17.5 25.119 -33958.2 -0.989903 35342.9 0
18 25.619 -34633.8 -0.989903 36049.7 0
18.5 26.119 -35309.4 -0.989903 36756.6 0
19 26.619 -35985 -0.989903 37463.5 0
19.5 27.119 -36660.6 -0.989903 38170.3 0
20 27.619 -37336.2 -0.989903 38877.2 0
20.5 28.119 -38011.8 -0.989903 39584 0
21 28.619 -38687.3 -0.989903 40290.9 0
21.5 29.119 -39362.9 -0.989903 40997.7 0
22 29.619 -40038.5 -0.989903 41704.6 0
